# wn (scale x 1.083)	PP 75 mu 
38.5693359	0.9797214
38.6200851	0.9799441
38.6708342	0.9802065
38.7215833	0.9805171
38.7723324	0.9808796
38.8230816	0.9812937
38.8738307	0.9817545
38.9245798	0.9822533
38.9753289	0.9827784
39.0260781	0.9833172
39.0768272	0.9838572
39.1275763	0.9843869
39.1783255	0.9848968
39.2290746	0.9853801
39.2798237	0.9858335
39.3305728	0.9862553
39.381322	0.9866464
39.4320711	0.9870083
39.4828202	0.987344
39.5335693	0.9876557
39.5843185	0.9879445
39.6350676	0.9882117
39.6858167	0.988457
39.7365658	0.9886796
39.787315	0.9888796
39.8380641	0.9890582
39.8888132	0.9892178
39.9395623	0.9893634
39.9903115	0.9895015
40.0410606	0.989641
40.0918097	0.9897913
40.1425589	0.9899614
40.193308	0.9901592
40.2440571	0.9903881
40.2948062	0.9906497
40.3455554	0.99094
40.3963045	0.9912512
40.4470536	0.991573
40.4978027	0.9918932
40.5485519	0.9922001
40.599301	0.9924837
40.6500501	0.9927374
40.7007992	0.9929596
40.7515484	0.9931524
40.8022975	0.9933228
40.8530466	0.99348
40.9037957	0.993635
40.9545449	0.9937984
41.005294	0.9939785
41.0560431	0.9941803
41.1067922	0.9944046
41.1575414	0.9946488
41.2082905	0.9949073
41.2590396	0.9951716
41.3097888	0.9954337
41.3605379	0.9956854
41.411287	0.9959207
41.4620361	0.9961354
41.5127853	0.9963279
41.5635344	0.9964988
41.6142835	0.9966502
41.6650326	0.996785
41.7157818	0.9969064
41.7665309	0.9970168
41.81728	0.9971182
41.8680291	0.9972116
41.9187783	0.9972966
41.9695274	0.997373
42.0202765	0.9974396
42.0710256	0.9974956
42.1217748	0.9975407
42.1725239	0.9975748
42.223273	0.9975985
42.2740222	0.9976131
42.3247713	0.9976202
42.3755204	0.9976211
42.4262695	0.9976176
42.4770187	0.9976112
42.5277678	0.9976026
42.5785169	0.9975923
42.629266	0.9975814
42.6800152	0.9975693
42.7307643	0.9975563
42.7815134	0.9975426
42.8322625	0.9975278
42.8830117	0.9975125
42.9337608	0.9974965
42.9845099	0.9974805
43.035259	0.9974649
43.0860082	0.9974501
43.1367573	0.9974362
43.1875064	0.9974233
43.2382556	0.9974109
43.2890047	0.9973977
43.3397538	0.9973817
43.3905029	0.9973613
43.4412521	0.9973332
43.4920012	0.9972948
43.5427503	0.9972434
43.5934994	0.9971759
43.6442486	0.9970912
43.6949977	0.9969883
43.7457468	0.9968679
43.7964959	0.9967315
43.8472451	0.9965819
43.8979942	0.9964228
43.9487433	0.9962585
43.9994924	0.9960933
44.0502416	0.9959314
44.1009907	0.9957758
44.1517398	0.9956293
44.2024889	0.9954925
44.2532381	0.9953658
44.3039872	0.9952474
44.3547363	0.9951352
44.4054855	0.9950259
44.4562346	0.9949163
44.5069837	0.9948027
44.5577328	0.9946819
44.608482	0.9945511
44.6592311	0.9944086
44.7099802	0.9942532
44.7607293	0.9940848
44.8114785	0.9939041
44.8622276	0.9937125
44.9129767	0.9935122
44.9637258	0.9933056
45.014475	0.9930946
45.0652241	0.9928818
45.1159732	0.9926684
45.1667223	0.9924561
45.2174715	0.9922448
45.2682206	0.9920347
45.3189697	0.991825
45.3697189	0.991615
45.420468	0.9914033
45.4712171	0.9911891
45.5219662	0.9909711
45.5727154	0.990749
45.6234645	0.9905214
45.6742136	0.9902882
45.7249627	0.990049
45.7757119	0.9898034
45.826461	0.9895511
45.8772101	0.9892923
45.9279592	0.9890266
45.9787084	0.9887546
46.0294575	0.9884757
46.0802066	0.9881905
46.1309557	0.9878988
46.1817049	0.9876001
46.232454	0.9872926
46.2832031	0.9869736
46.3339523	0.9866395
46.3847014	0.9862859
46.4354505	0.9859077
46.4861996	0.9854996
46.5369488	0.9850584
46.5876979	0.9845825
46.638447	0.984073
46.6891961	0.9835346
46.7399453	0.9829757
46.7906944	0.9824072
46.8414435	0.9818437
46.8921926	0.981299
46.9429418	0.9807877
46.9936909	0.9803205
47.04444	0.9799058
47.0951891	0.9795459
47.1459383	0.9792386
47.1966874	0.9789768
47.2474365	0.9787492
47.2981856	0.9785427
47.3489348	0.9783431
47.3996839	0.9781373
47.450433	0.9779142
47.5011822	0.9776655
47.5519313	0.9773862
47.6026804	0.9770744
47.6534295	0.9767311
47.7041787	0.9763592
47.7549278	0.9759629
47.8056769	0.9755471
47.856426	0.9751164
47.9071752	0.9746754
47.9579243	0.974228
48.0086734	0.9737773
48.0594225	0.9733259
48.1101717	0.9728759
